Phage,Phage_Accession,Host_Name,Host_Accession,Affinity,Source
"Escherichia phage orkinos, complete genome",NC_101840.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Escherichia|NCBI:NC_101840.1
"Escherichia phage orkinos, complete genome",NC_101840.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Escherichia|NCBI:NC_101840.1
"Escherichia phage orkinos, complete genome",NC_101840.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Escherichia|NCBI:NC_101840.1
"Escherichia phage orkinos, complete genome",NC_101840.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Escherichia|NCBI:NC_101840.1
"Escherichia phage JLBYU26, complete genome",NC_105436.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Escherichia|NCBI:NC_105436.1
"Escherichia phage JLBYU26, complete genome",NC_105436.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Escherichia|NCBI:NC_105436.1
"Escherichia phage JLBYU26, complete genome",NC_105436.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Escherichia|NCBI:NC_105436.1
"Escherichia phage JLBYU26, complete genome",NC_105436.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Escherichia|NCBI:NC_105436.1
"Bacillus phage PBC_MG99, complete genome",PQ634339.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Bacillus|NCBI:PQ634339.1
"Bacillus phage PBC_MG99, complete genome",PQ634339.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Bacillus|NCBI:PQ634339.1
"Bacillus phage PBC_MG99, complete genome",PQ634339.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Bacillus|NCBI:PQ634339.1
"Bacillus phage PBC_MG99, complete genome",PQ634339.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Bacillus|NCBI:PQ634339.1
"Bacillus phage PBC_MG88, complete genome",PQ618007.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Bacillus|NCBI:PQ618007.1
"Bacillus phage PBC_MG88, complete genome",PQ618007.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Bacillus|NCBI:PQ618007.1
"Bacillus phage PBC_MG88, complete genome",PQ618007.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Bacillus|NCBI:PQ618007.1
"Bacillus phage PBC_MG88, complete genome",PQ618007.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Bacillus|NCBI:PQ618007.1
"Bacillus phage GH_01, complete genome",PX974340.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Bacillus|NCBI:PX974340.1
"Bacillus phage GH_01, complete genome",PX974340.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Bacillus|NCBI:PX974340.1
"Bacillus phage GH_01, complete genome",PX974340.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Bacillus|NCBI:PX974340.1
"Bacillus phage GH_01, complete genome",PX974340.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Bacillus|NCBI:PX974340.1
"Bacillus phage Wyvern, complete genome",PX866600.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Bacillus|NCBI:PX866600.1
"Bacillus phage Wyvern, complete genome",PX866600.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Bacillus|NCBI:PX866600.1
"Bacillus phage Wyvern, complete genome",PX866600.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Bacillus|NCBI:PX866600.1
"Bacillus phage Wyvern, complete genome",PX866600.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Bacillus|NCBI:PX866600.1
"Priestia phage Salamander, complete genome",PX866599.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Bacillus|NCBI:PX866599.1
"Priestia phage Salamander, complete genome",PX866599.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Bacillus|NCBI:PX866599.1
"Priestia phage Salamander, complete genome",PX866599.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Bacillus|NCBI:PX866599.1
"Priestia phage Salamander, complete genome",PX866599.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Bacillus|NCBI:PX866599.1
"Bacillus phage HRZ04p, complete genome",PX872532.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Bacillus|NCBI:PX872532.1
"Bacillus phage HRZ04p, complete genome",PX872532.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Bacillus|NCBI:PX872532.1
"Bacillus phage HRZ04p, complete genome",PX872532.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Bacillus|NCBI:PX872532.1
"Bacillus phage HRZ04p, complete genome",PX872532.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Bacillus|NCBI:PX872532.1
"Bacillus phage MAC24, complete genome",OM373206.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Bacillus|NCBI:OM373206.1
"Bacillus phage MAC24, complete genome",OM373206.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Bacillus|NCBI:OM373206.1
"Bacillus phage MAC24, complete genome",OM373206.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Bacillus|NCBI:OM373206.1
"Bacillus phage MAC24, complete genome",OM373206.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Bacillus|NCBI:OM373206.1
"Bacillus phage WAH1, complete genome",PX842512.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Bacillus|NCBI:PX842512.1
"Bacillus phage WAH1, complete genome",PX842512.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Bacillus|NCBI:PX842512.1
"Bacillus phage WAH1, complete genome",PX842512.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Bacillus|NCBI:PX842512.1
"Bacillus phage WAH1, complete genome",PX842512.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Bacillus|NCBI:PX842512.1
"Bacillus phage MBMR7, complete genome",PX674298.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Bacillus|NCBI:PX674298.1
"Bacillus phage MBMR7, complete genome",PX674298.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Bacillus|NCBI:PX674298.1
