Phage,confidence
"Pseudomonas phage Junood_PK4, complete genome",0.0408
"Pseudomonas phage Junood_PK_1, complete genome",0.0408
"Pseudomonas phage Junood_PK_2, complete genome",0.0408
"Pseudomonas phage Kipling, complete genome",0.0408
"Pseudomonas phage Klucen469, complete genome",0.0408
"Pseudomonas phage Kovar531, complete genome",0.0408
"Pseudomonas phage LPS-4, complete genome",0.0408
"Pseudomonas phage Lasov521, complete genome",0.0408
"Pseudomonas phage Luminis, complete genome",0.0408
"Pseudomonas phage MC11, complete genome",0.0408
"Pseudomonas phage MME, complete genome",0.0408
"Pseudomonas phage Nican01, complete genome",0.0102
"Pseudomonas phage OmaKarin genome assembly, chromosome: 1",0.0408
"Pseudomonas phage OmaKarin, complete genome",0.0408
"Pseudomonas phage Onen484, complete genome",0.0408
"Pseudomonas phage Onen526, complete genome",0.0408
"Pseudomonas phage Orimi01, complete genome",0.0408
"Pseudomonas phage Orisa01, complete genome",0.0510
"Pseudomonas phage Orisa02, complete genome",0.0510
"Pseudomonas phage Orisa03, complete genome",0.0102
"Pseudomonas phage PAW33, complete genome",0.0408
"Pseudomonas phage PFXL2-1, complete genome",0.0408
"Pseudomonas phage PO4, complete genome",0.0408
"Pseudomonas phage PSA39, complete genome",0.0408
"Pseudomonas phage PTLB_14-5818, complete genome",0.0408
"Pseudomonas phage PyoPredator-2025, complete genome",0.0408
"Pseudomonas phage Radvan531, complete genome",0.0408
"Pseudomonas phage Shea, complete genome",0.0408
"Pseudomonas phage Spalt, complete genome",0.0408
"Pseudomonas phage Stade, complete genome",0.0408
"Pseudomonas phage TIVP-31Bull2, complete genome",0.0408
"Pseudomonas phage Touem01, complete genome",0.0510
"Pseudomonas phage VNP12.1, complete genome",0.0408
"Pseudomonas phage WCHPA-P2, complete genome",0.0408
"Pseudomonas phage XBug, complete genome",0.0408
"Pseudomonas phage XC2, complete genome",0.0408
"Pseudomonas phage Y6096, complete genome",0.0408
"Pseudomonas phage pSO21, complete genome",0.0408
"Pseudomonas phage pWA51, complete genome",0.0408
"Pseudomonas phage ph3678, complete genome",0.0408
"Pseudomonas phage phQ2, complete genome",0.0408
"Pseudomonas phage phQ3, complete genome",0.0408
"Pseudomonas phage phiK601, complete genome",0.0408
"Pseudomonas phage phiK7A1, complete genome",0.0102
"Pseudomonas phage vB-PA-CH01, complete genome",0.0408
"Pseudomonas phage vB_PaS_GZMU_PS12, complete genome",0.0408
"Pseudomonas phage vB_Pa_AN-12, complete genome",0.0408
"Pseudomonas phage vB_PaeA-38F, complete genome",0.0408
"Pseudomonas phage vB_PaeM_ARP5, complete genome",0.0408
"Pseudomonas phage vB_PaeM_BonaDea, complete genome",0.0408
"Pseudomonas phage vB_PaeM_PKMS3, complete genome",0.0408
"Pseudomonas phage vB_PaeP-27853, complete genome",0.0408
"Pseudomonas phage vB_PaeP_P39, complete genome",0.0408
"Pseudomonas phage vB_PaeS_ARP3, complete genome",0.0408
"Pseudomonas phage vB_PsP_Jiug, complete genome",0.0408
"Pseudomonas phage vB_PsP_Sever, complete genome",0.0408
"Pseudomonas phage vB_PsP_Vostok, complete genome",0.0408
"Pseudomonas phage vB_PsP_Zapad, complete genome",0.0408
"Pseudomonas phage vB_Psp_JHDO137a, complete genome",0.0408
"Pseudomonas phage vanta, complete genome",0.0408
"Pseudoxanthomonas phage PS211, complete genome",0.0408
"Pseudoxanthomonas phage PS519, complete genome",0.0408
"Pseudoxanthomonas phage PS525, complete genome",0.0408
"Pseudoxanthomonas phage PT226, complete genome",0.0408
"Pseudoxanthomonas phage PT456, complete genome",0.0408
"Pseudoxanthomonas phage PT816, complete genome",0.0408
"Ruminococcus phage phiRM10, complete genome",0.0408
"Ruminococcus phage phiRg507T2_2, complete genome",0.0408
"Ruminococcus phage phiRg507T2_3, complete genome",0.0408
"Ruminococcus phage phiRgIBDN1, complete genome",0.0408
"Salmonella phage GSP011, complete genome",0.0408
"Salmonella phage GSP032, complete genome",0.0408
"Salmonella phage GSP060, complete genome",0.0408
"Salmonella phage Jafari_IR2025 DNA, complete genome",0.0408
"Salmonella phage LP31, complete genome",0.0102
"Salmonella phage P53F, complete genome",0.0408
"Salmonella phage PVP-SE1, complete genome",0.0102
"Salmonella phage S150, complete genome",0.0408
"Salmonella phage S151, complete genome",0.0408
"Salmonella phage S152, complete genome",0.0408
"Salmonella phage S153, complete genome",0.0408
"Salmonella phage S154, complete genome",0.0408
"Salmonella phage S155, complete genome",0.0408
"Salmonella phage S156, complete genome",0.0408
"Salmonella phage S157, complete genome",0.0408
"Salmonella phage S158, complete genome",0.0408
"Salmonella phage S159, complete genome",0.0408
"Salmonella phage S55, complete genome",0.0102
"Salmonella phage ST64B, complete genome",0.0408
"Salmonella phage SZ-29, complete genome",0.0408
"Salmonella phage Salfin_2, complete genome",0.0408
Salmonella phage Vi01 complete sequence,0.0408
"Salmonella phage misterkot, complete genome",0.0408
"Salmonella phage vB_PhiESI, complete genome",0.0408
"Salmonella phage vB_SEn_Bv0003, complete genome",0.0408
"Salmonella phage vB_SEn_PH353, complete genome",0.0408
"Salmonella phage vB_SEn_PH477, complete genome",0.0408
"Salmonella phage vB_SIn_BV005, complete genome",0.0408
"Salmonella phage vB_SPuM_SP02, complete genome",0.0408
"Salmonella phage vB_STy_BV004, complete genome",0.0408
"Salmonella phage vB_SeT-PST5, complete genome",0.0408
"Salmonella phage vB_SenM-AKM_CE, complete genome",0.0102
"Salmonella phage vB_SenS_UTK0006, complete genome",0.0408
"Salmonella phage vB_SenS_UTK0007, complete genome",0.0408
"Salmonella phage vB_salP-bKK1, complete genome",0.0408
"Salmonella phage vB_salP-bTM, complete genome",0.0408
"Salmonella phage vB_salP-pSN, complete genome",0.0408
"Salmonella phage vB_salP-pYM, complete genome",0.0408
"Serratia phage Tsm2, complete genome",0.0102
"Shigella phage phiSboM-AG3, complete genome",0.0102
"Staphylococcus phage 1306KAYMAS-S15, complete genome",0.0408
"Staphylococcus phage 29740-R20-P4, complete genome",0.0408
"Staphylococcus phage BP13, complete genome",0.0408
"Staphylococcus phage BP14, complete genome",0.0408
"Staphylococcus phage EAS1, complete genome",0.0408
"Staphylococcus phage EAS2, complete genome",0.0408
"Staphylococcus phage EFLK1_S, complete genome",0.0408
"Staphylococcus phage J1P1, complete genome",0.0408
"Staphylococcus phage J1P2, complete genome",0.0408
"Staphylococcus phage J1P3, complete genome",0.0408
"Staphylococcus phage J2-1P1, complete genome",0.0408
"Staphylococcus phage J2-1P2, complete genome",0.0408
"Staphylococcus phage KXI_01, complete genome",0.0408
"Staphylococcus phage LAC-R10-P2, complete genome",0.0408
"Staphylococcus phage PSARa, complete genome",0.0408
"Staphylococcus phage SA-Mt1, complete genome",0.0408
"Staphylococcus phage SA1298, complete genome",0.0408
"Staphylococcus phage SAP02, complete genome",0.0408
"Staphylococcus phage SAP15, complete genome",0.0408
"Staphylococcus phage SAP24, complete genome",0.0408
"Staphylococcus phage SapYZUs8, complete genome",0.0408
"Staphylococcus phage d191, complete genome",0.0408
"Staphylococcus phage pelagios, complete genome",0.0408
"Staphylococcus phage sv_nwjns1, complete genome",0.0408
"Staphylococcus phage vB_Sau-RP15-TrD7, complete genome",0.0408
"Staphylococcus phage vB_SauL_SHZU01, complete genome",0.0408
"Staphylococcus phage vB_SauM-MUHD-1, complete genome",0.0408
"Staphylococcus phage vB_SauM_HN02, complete genome",0.0408
"Staphylococcus phage vB_SauP_RLup11, complete genome",0.0408
